,model,data,ticker,timeframe,datasize,MAPE,DirecAccuracy,MSE
1106,LGBMwithClose,gbm_nl,META,hourly,188,0.009107226996100925,0.5159574468085106,57.220156753788864
1107,LGBMwithClose,gbm_nl,MINDSPACE.BO,hourly,56,0.005720747179307145,0.5714285714285714,14.970782820750438
1108,LGBMwithClose,gbm_nl,MSFT,hourly,188,0.008336276721329977,0.5159574468085106,6.1576092884941165
1109,LGBMwithClose,gbm_nl,NVDA,hourly,188,0.011352931139363292,0.4734042553191489,0.02402886913937479
1110,LGBMwithClose,gbm_nl,NXST.BO,hourly,56,0.016096862973438385,0.625,19.041106017939235
1111,LGBMwithClose,gbm_nl,OBEROIRLTY.NS,hourly,56,0.006646347985666405,0.5178571428571429,176.29112423389356
1112,LGBMwithClose,gbm_nl,^DJI,hourly,54,0.012826555610169425,0.5,413543.3902946253
1113,LGBMwithClose,gbm_nl,^GSPC,hourly,54,0.0030101635753583904,0.35185185185185186,189.90468982737167
1114,LGBMwithClose,gbm_nl,^N225,hourly,55,0.004895006865168745,0.38181818181818183,38015.870135283
1115,LGBMwithClose,gbm_nl,^NSEI,hourly,56,0.03338573303974602,0.6428571428571429,1403472.5609481737
1116,LGBMwithClose,jump_diffusion,AAPL,daily,67,0.019854167461619124,0.3880597014925373,2.9659901426343382
1117,LGBMwithClose,jump_diffusion,BIRET.BO,daily,68,0.012416950563885552,0.5147058823529411,3.5236241787057656
1118,LGBMwithClose,jump_diffusion,DLF.NS,daily,68,0.03505898351316037,0.5735294117647058,1308.3096151099558
1119,LGBMwithClose,jump_diffusion,EMBASSY.BO,daily,68,0.026704756071149093,0.4852941176470588,162.0790226063082
1120,LGBMwithClose,jump_diffusion,GC=F,daily,69,0.011849292202196528,0.6376811594202898,988.5827908428888
1121,LGBMwithClose,jump_diffusion,GODREJPROP.NS,daily,68,0.021128144199188424,0.5882352941176471,875.0762617929136
1122,LGBMwithClose,jump_diffusion,GOOGL,daily,67,0.027170577998624098,0.44776119402985076,1.0544369924759802
1123,LGBMwithClose,jump_diffusion,LODHA.NS,daily,68,0.20697135968118088,0.47058823529411764,51189.026311635964
1124,LGBMwithClose,jump_diffusion,META,daily,67,0.06719347615194596,0.5074626865671642,23022.602984427896
1125,LGBMwithClose,jump_diffusion,MINDSPACE.BO,daily,68,0.017527865332122805,0.5147058823529411,194.29820432609037
1126,LGBMwithClose,jump_diffusion,MSFT,daily,67,0.016764422210366933,0.43283582089552236,3.8735783571550235
1127,LGBMwithClose,jump_diffusion,NVDA,daily,67,0.03460006321857679,0.5373134328358209,2.354491314294958e-05
1128,LGBMwithClose,jump_diffusion,NXST.BO,daily,68,0.06090463824227386,0.4852941176470588,126.51725967022354
1129,LGBMwithClose,jump_diffusion,OBEROIRLTY.NS,daily,68,0.01680469047220849,0.5441176470588235,171.86182629090067
1130,LGBMwithClose,jump_diffusion,^DJI,daily,67,0.009952524096104965,0.5522388059701493,53997.244323109466
